"fit","trend","signal","UNITID"
7255.69001354969,7252.06342168996,3.62659186003094,101505
7654.24623692436,7642.55333127764,11.6929056467424,101569
8460.55541826824,8442.44831826285,18.1071000054102,102067
7715.33735210574,7705.93314647205,9.40420563368519,101736
10138.7338254781,10131.1270306978,7.60679478034422,101514
8355.50200933985,8351.39371648539,4.10829285463933,101462
6760.17983073129,6754.1770514523,6.00277927901237,101240
8480.22736841027,8455.12124117178,25.1061272385051,101471
7025.69727815548,7017.05747825213,8.6397999033789,102313
7976.84925929014,7944.55237916649,32.296880123688,102030
6027.35077948366,6004.532822066,22.81795741768,101301
8637.43876838982,8625.16694688014,12.2718215095884,101648
8208.54884416257,8170.31168412895,38.2371600336154,101028
6542.28368474526,6521.07129435756,21.2123903876875,107637
6347.19320921032,6323.66042827302,23.5327809373188,106449
6024.39012249093,6004.37774862551,20.012373865425,107585
8016.15037691293,8001.26533844625,14.8850384667089,107664
5427.51843761845,5395.79668114672,31.7217564717634,107318
3963.69723930256,3953.17869944323,10.5185398593588,106625
6269.98337872657,6249.12053936024,20.8628393663595,106999
7658.79653361896,7651.53720267089,7.25933094809767,367459
6915.14612110598,6894.44617473004,20.6999463759471,105428
7483.49595833506,7469.88270911164,13.613249223423,364016
7448.40244688431,7419.54459604909,28.8578508352349,105145
7046.53129470694,7020.74503195076,25.7862627561833,105792
7705.35510544321,7683.53335211489,21.8217533283376,105154
7084.21049963461,7071.81963390428,12.3908657303455,364025
9980.43996560702,9950.92742811447,29.5125374925527,105747
7347.81417257064,7316.85141496551,30.9627576051449,105668
7329.40060042971,7305.99272021532,23.4078802144128,104708
6549.30256364636,6534.22032405159,15.0822395947731,384333
5388.61989491441,5385.19162372545,3.42827118898437,105525
8575.72226212109,8571.13722427986,4.58503784126341,404426
6273.38356044698,6265.01212304701,8.37143739998683,106148
6319.572966969,6251.02835115084,68.5446158181782,117724
6343.0929421608,6249.04075496754,94.0521871932801,117788
7276.24783228083,7151.92322210938,124.324610171464,117715
6107.00514848237,6053.98543029687,53.0197181855219,112686
5210.65582683649,5219.02228586618,-8.36645902970224,371690
6074.79959641248,5998.92559551209,75.8740009003928,113980
5910.22682079425,5837.87055933576,72.3562614585074,111887
6011.76180418528,5967.89968109514,43.8621230901506,117690
5782.28074516588,5734.92776835675,47.3529768091429,117645
5708.73693809272,5640.40428141016,68.3326566825634,121044
6481.74799276776,6397.74644567474,84.0015470930387,115001
4967.90743509384,4923.41666003613,44.4907750577288,117867
4935.63630807225,4888.64250358824,46.9938044840108,111461
6649.35769314805,6602.89464388981,46.4630492582406,117706
6038.46836906958,5975.68395117785,62.7844178917378,117733
5564.4581984907,5524.75771716062,39.7004813300971,111939
5011.35031101384,4909.74941105557,101.600899958288,112172
6777.23055961284,6605.30997424692,171.920585365938,383084
6606.68027878151,6561.58784827814,45.0924305033835,113856
5300.17886657869,5201.22473158632,98.9541349923849,119164
4901.73612342196,4954.41582908409,-52.6797056621105,413802
5910.11587690633,5934.28891498396,-24.1730380776174,123800
6171.69623178,6201.19520236437,-29.4989705843607,113218
6542.74438141603,6563.88170438975,-21.1373229736996,115296
5446.66939079706,5440.40398393991,6.26540685716031,120971
5705.43635858947,5733.83024443528,-28.3938858457918,122339
6517.99216691622,6540.13190887993,-22.139741963695,122384
5806.34588512963,5782.96997371529,23.3759114143637,113111
6108.96866925405,6032.42167711431,76.5469921397475,123527
5599.89978484662,5535.57238277685,64.3274020697884,121901
5702.48844736682,5630.56272816524,71.9257192015859,460394
6731.6364407685,6696.3672745361,35.2691662324148,116439
6244.28961820276,6187.66363388941,56.6259843133581,120342
6144.29650664589,6089.57170842071,54.7247982251906,115126
6254.44306864086,6246.72664485586,7.71642378501213,122205
6352.39712338787,6393.90813145595,-41.5110080680724,112385
6182.58028078902,6153.25041862947,29.3298621595637,114859
5532.80317424486,5485.83735661441,46.9658176304616,460464
5689.55591281996,5666.93533122223,22.6205815977369,399212
5153.78542455816,5152.84088862003,0.944535938143019,125028
5882.97217244597,5847.29402255936,35.678149886634,119137
4922.64271823231,4922.68531517967,-0.0425969473419627,120421
6846.96131532358,6845.25695510368,1.70436021992515,122889
4425.83632274925,4411.90483948168,13.9314832675872,123217
6508.59450575747,6502.31434390269,6.28016185479308,113193
6034.33271895025,6017.16790765068,17.1648112995813,108807
3738.64164276586,3732.40025189668,6.24139086919436,117052
3080.80096383024,3067.25850886501,13.5424549652483,489201
3003.39876579514,2994.61786967307,8.78089612208106,114789
5702.02661062362,5668.28607670042,33.7405339232062,115393
6162.86968991306,6146.71024847191,16.1594414411575,119067
5557.82868782434,5547.75748985672,10.0711979676191,111434
5937.80620487152,5903.82097557822,33.9852292933181,112190
6544.12801812664,6517.81134452345,26.3166736032032,122791
7082.22590206812,6940.94656173515,141.279340332987,108667
6321.61839727954,6281.78331172361,39.8350855559424,113634
6666.98481696816,6628.36117588025,38.6236410879268,120290
6179.37355507025,6139.38316460134,39.9903904689223,111920
6147.24783173325,6098.85898018693,48.3888515463318,366401
5852.45933223989,5834.38231121791,18.0770210219916,119331
7266.47383791602,7228.46100159086,38.0128363251687,117894
7578.19579157064,7546.05704875753,32.1387428131359,117247
7063.14427845661,7025.89605420957,37.248224247048,118772
7210.52717193281,7142.51667929744,68.0104926353838,125170
6463.29923581493,6425.9392287067,37.3600071082452,112826
5781.76087772366,5757.5224835825,24.238394141175,118347
6134.93221603594,6100.21047966686,34.7217363690934,110334
6983.21681770294,6875.89401864652,107.322799056432,113333
6521.32815692081,6447.29490897269,74.0332479481302,118930
