"STABBR","ZIP2","UNITID","COUNTYCD","treat_pu4_i","lag.OpenDoor_pu4_i","lag.Doct_Res_pu4_i","lag.net_price_pu4_i","treat_priv4_i","lag.OpenDoor_priv4_i","lag.Doct_Res_priv4_i","lag.net_price_priv4_i","treat_profit4_i","lag.OpenDoor_profit4_i","lag.Doct_Res_profit4_i","lag.net_price_profit4_i","treat_i","mean_cost_all_i","prop_pub_neigh","net_price_i","cost_attndce_i","instate_tui_fees_i","outstate_tui_fees_i","net_tuition_rev_i","instruct_expendts_i","fac_salary_month_i","prop_fac_fulltime_i","prop_Pell_grant_i","prop_loan_i","transf_rate_FTE_i","non_resident_alien_i","distance_only_i","White_i","Black_i","Hispanic_i","Asian_i","race_other_i","prop_part_time_i","undup_count_i","med_debt_grads_i","med_debt_nongrads_i","med_debt_1st_gen_i","med_debt_cont_gen_i","prop_adlts_up_HS_c","unemplymnt_rate_c","prop_poverty_c","death_rate_c","prop_net_migration_c","LONGITUD","LATITUDE","New_Eng_i","Mid_East_i","Great_Lakes_i","Plains_i","Southeast_i","Southwest_i","Rocky_Mount_i","Far_West_i","Rural_i","net_price_t0","county","White_z","Black_z","Hispanic_z","Asian_z","other_z","citzn_born_abroad_z","rent_income_ratio_z","single_mother_hshld_z","Bach_or_more_z","Gini_z","prop_crime_z","med_rent_z","med_income_z","prop_EITC_z","Rank_s","State.Gross.Domestic.Product_s","Absolute.Domestic.Migration_s","Non.Farm.Payroll_s","core_lower_div_s","common_numberg_s","Asocc_degree_gtd_s","reverse_trsnfer_s","race_other_z","state_sup_per_inhabi_s","Need_based_s","Nonneed_based_s","Nongrant_Aid_s","neigh_i","prop_pub_neigh_i","prop_pri_NoProf_neigh_i","prop_Profit_neigh_i","tot_living_oncampus","total_students","pct_living_on_campus_i","prop_inst_aid_i","prop_Research_all_i","prop_OpenDoor_all_i","Northeast","Midwest","South","West"
"AR","72712","367459","05007",1,0,1,16069,1,0,0,19380,0,0,0,,2,17724.5,0.5,7783,11701,3238,4738,3064,4961,6166,0.3292,0.45,0.1572,0.1877,0.0191,0,0.6003,0.026,0.2388,0.0292,0.1057,0.6213,11098,5404,9000,5500,4682,0.41,0.029,0.086,0.069,0.142,-94.17289,36.357704,0,0,0,0,1,0,0,0,0,6798,"05007",0.763770021773342,0.0249207752171945,0.094078082221312,0.0914480350098088,0.0257830857783428,0.0675302438821566,0.112558703226784,0.143437182790661,0.441956826839538,0.4566,0.0328005366781049,789,36872,0.122,24,14,32,23,1,1,1,0,0.0257830857783428,330.204350249387,6.98774457105999,400.379846627965,6.52189493298932,1,0.5,0.5,0,,575,0,0.03,0.5,0,0,0,1,0
"AZ","85013","105428","04013",4,0,0.25,10578,4,0.5,0,23494.5,9,0.555555555555556,0,22479.4444444444,17,18850.6481481481,0.235294117647059,7694,12075,2070,7854,1708,4824,8921,1,0.69,0.1331,0.2921,0.0129,0,0.2099,0.0984,0.5559,0.0296,0.1062,0.7038,17335,5315,9000,5500,4918,0.352,0.041,0.123,0.075,0.126,-112.088293,33.481361,0,0,0,0,0,1,0,0,0,7184,"04013",0.612072374925845,0.0501285347043702,0.215789994067629,0.0444433458572276,0.0775657504449282,0.0880632872856599,0.17601019293775,0.251611013473931,0.435408921933086,0.4983,0.0330802654209378,843,31995,0.135,38,22,47,37,1,1,0,0,0.0775657504449282,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.235294117647059,0.235294117647059,0.529411764705882,,495,0,0.27,0.0588235294117647,0.411764705882353,0,0,0,1
"AZ","85032","364016","04013",4,0,0.25,10578,2,0.5,0,25179.5,9,0.555555555555556,0,22479.4444444444,15,19412.3148148148,0.266666666666667,8412,12224,2070,7854,2105,5674,9191,1,0.41,0.0904,0.3343,0.006,0,0.5519,0.0397,0.2555,0.0296,0.1233,0.6656,12427,3938,7000,3938,3752,0.352,0.041,0.123,0.075,0.126,-112.009865,33.652135,0,0,0,0,0,1,0,0,0,7331,"04013",0.617858824180997,0.0316524050843233,0.280883941181357,0.0351831851790313,0.0344216443742914,0.0993309862745736,0.211600164541341,0.334965034965035,0.284810921730391,0.4167,0.029098498367134,874,24853,0.169,38,22,47,37,1,1,0,0,0.0344216443742914,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.266666666666667,0.133333333333333,0.6,,317,0,0.29,0.0666666666666667,0.4,0,0,0,1
"AZ","85034","105145","04013",4,0,0.25,10578,3,0.666666666666667,0,22352.3333333333,9,0.555555555555556,0,22479.4444444444,16,18469.9259259259,0.25,7598,12180,2070,7854,2963,6901,8855,1,0.55,0.1535,0.3584,0.0043,0,0.2961,0.1189,0.4527,0.0351,0.0972000000000001,0.7323,7660,4750,6750,4750,6500,0.352,0.041,0.123,0.075,0.126,-111.997077,33.449686,0,0,0,0,0,1,0,0,0,8245,"04013",0.130424358666986,0.117717573723328,0.71038120354831,0.0107887796691441,0.0306880843922319,0.109439260742318,0.269198312236287,0.356330553449583,0.170856412441415,0.4974,0.0318291396781395,595,14378,0.324,38,22,47,37,1,1,0,0,0.0306880843922319,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.25,0.1875,0.5625,,187,0,0.2,0.0625,0.4375,0,0,0,1
"AZ","85042","105792","04013",4,0,0.25,10578,3,0.666666666666667,0,22352.3333333333,9,0.555555555555556,0,22479.4444444444,16,18469.9259259259,0.25,7344,11975,2070,7854,1289,5839,9028,1,0.65,0.1294,0.2926,0.0078,0,0.1255,0.1609,0.58,0.0235,0.1101,0.6031,5909,4500,8087.7999589956,4500,3500,0.352,0.041,0.123,0.075,0.126,-112.032635,33.382406,0,0,0,0,0,1,0,0,0,6536,"04013",0.216690125724646,0.14989145215545,0.563733091585753,0.0174869384736503,0.0521983920605007,0.0967385100316817,0.279444038039503,0.313290870488323,0.213664644278703,0.445,0.0307774218412073,907,24437,0.272,38,22,47,37,1,1,0,0,0.0521983920605007,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.25,0.1875,0.5625,,288,0,0.27,0.0625,0.4375,0,0,0,1
"AZ","85128","104346","04021",0,0,0,,0,0,0,,0,0,0,,0,,,5370,10680,2580,11100,1504,8870,6498,1,0.45,0.0871,0.2684,0.0121,0,0.3957,0.0649,0.3071,0.0187,0.2136,0.6598,8086,6625,9169,6646,6470,0.443,0.049,0.129,0.074,0.318,-111.652501,32.957092,0,0,0,0,0,1,0,0,0,5409,"04021",0.413814835822777,0.0374361883153715,0.369824163357913,0.00415957647948573,0.174765236024453,0.0559092409060374,0.142324093816631,0.353540027764924,0.109962219129052,0.4091,0.0460598289836162,698,21591,0.332,38,22,47,37,1,1,0,0,0.174765236024453,124.400907467621,40.6863790707998,0,0.590910925222384,0,,,,60,342,0.175438596491228,0.36,,,0,0,0,1
"AZ","85202","105154","04013",4,0,0.25,11222.5,3,0.666666666666667,0,22352.3333333333,9,0.555555555555556,0,22479.4444444444,16,18684.7592592593,0.25,8184,12362,2070,7854,2311,4846,9308,1,0.47,0.13,0.2634,0.0233,0,0.4524,0.0643,0.3002,0.0399,0.1432,0.6337,30010,4500,8000,4500,4222,0.352,0.041,0.123,0.075,0.126,-111.871255,33.390323,0,0,0,0,0,1,0,0,0,8020,"04013",0.572841312417026,0.0413178357582162,0.28572976780731,0.0414262104093852,0.0586848736080626,0.0870827667184064,0.211507293354943,0.313344594594595,0.284224473223063,0.4299,0.0300885408645773,847,26408,0.208,38,22,47,37,1,1,0,0,0.0586848736080626,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.25,0.1875,0.5625,,940,0,0.3,0.0625,0.4375,0,0,0,1
"AZ","85225","364025","04013",4,0,0.25,11222.5,1,1,0,16698,4,0.75,0,20887.25,9,16269.25,0.444444444444444,8603,12166,2070,7854,2272,3817,9045,1,0.34,0.0841,0.3016,0.0082,0,0.4897,0.0507,0.2861,0.0454,0.1281,0.5911,19559,3752,6250,3713,4121,0.352,0.041,0.123,0.075,0.126,-111.795922,33.293897,0,0,0,0,0,1,0,0,0,7959,"04013",0.46225138404757,0.0537488893445424,0.382721618481307,0.0541999863303944,0.0470781217961862,0.113145683692141,0.182146153200772,0.286920049710025,0.26887609316824,0.4227,0.0296396084140231,992,28188,0.201,38,22,47,37,1,1,0,0,0.0470781217961862,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.444444444444444,0.111111111111111,0.444444444444444,13,421,0.0308788598574822,0.22,0.111111111111111,0.444444444444444,0,0,0,1
"AZ","85256","105747","04013",5,0,0.2,10674.2,3,0.666666666666667,0,22352.3333333333,9,0.555555555555556,0,22479.4444444444,17,18501.9925925926,0.294117647058824,8969,12661,2070,7854,2426,6446,9120,1,0.33,0.1017,0.3892,0.0083,0,0.5461,0.0489,0.2274,0.0269,0.1507,0.6362,13652,4351,7500,4350,4500,0.352,0.041,0.123,0.075,0.126,-111.885186,33.51135,0,0,0,0,0,1,0,0,0,7579,"04013",0.100300687285223,0.00365120274914089,0.194372852233677,0.0240549828178694,0.67762027491409,0.0350466290792472,0.192708333333333,0.564880568108457,0.133434420015163,0.4994,0.0517700792878706,725,21276.9274646462,0.238,38,22,47,37,1,1,0,0,0.67762027491409,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.294117647058824,0.176470588235294,0.529411764705882,,224,0,0.24,0.0588235294117647,0.411764705882353,0,0,0,1
"AZ","85281","105668","04013",5,0,0.2,10674.2,3,0.666666666666667,0,22352.3333333333,9,0.555555555555556,0,22479.4444444444,17,18501.9925925926,0.294117647058824,7431,10942,2070,7854,2641,1960,6182,1,0.66,0.1037,0.3571,0.0163,0,0.4868,0.105,0.2659,0.0297,0.1126,0.8477,42716,3500,7702,3500,3500,0.352,0.041,0.123,0.075,0.126,-111.97417,33.413309,0,0,0,0,0,1,0,0,0,7200,"04013",0.550981644590869,0.0446782760707322,0.246201169905197,0.0980299872251731,0.0601089222080288,0.0825134345153306,0.321188071188071,0.399969078540507,0.370190298932655,0.4991,0.0305516368557096,878,15699,0.164,38,22,47,37,1,1,0,0,0.0601089222080288,124.400907467621,40.6863790707998,0,0.590910925222384,1,0.294117647058824,0.176470588235294,0.529411764705882,,61,0,0.13,0.0588235294117647,0.411764705882353,0,0,0,1
